	idpedido	cliente	idempleado	idempresa	importe	pais
583	10831	SANTG	3	2	72.19	Noruega
584	10832	LAMAI	2	2	43.26	Francia
585	10833	OTTIK	6	2	71.49	Alemania
586	10834	TRADH	1	3	29.78	Brasil
587	10835	ALFKI	1	3	69.53	Alemania
588	10836	ERNSH	7	1	411.88	Austria
589	10837	BERGS	9	3	13.32	Suecia
590	10838	LINOD	3	3	59.28	Venezuela
591	10839	TRADH	3	3	35.43	Brasil
592	10840	LINOD	4	2	2.71	Venezuela
593	10841	SUPRD	5	2	424.3	Belgica
594	10842	TORTU	1	3	54.42	Mexico
595	10843	VICTE	4	2	9.26	Francia
596	10844	PICCO	8	2	25.22	Austria
597	10845	QUICK	8	1	212.98	Alemania
598	10846	SUPRD	2	3	56.46	Belgica
599	10847	SAVEA	4	3	487.57	Estados Unidos
600	10848	CONSH	7	2	38.24	Reino Unido
601	10849	KOENE	9	2	0.56	Alemania
602	10850	VICTE	1	1	49.19	Francia
603	10851	RICAR	5	1	160.55	Brasil
604	10852	RATTC	8	1	174.05	Estados Unidos
605	10853	BLAUS	9	2	53.83	Alemania
606	10854	ERNSH	3	2	100.22	Austria
607	10855	OLDWO	3	1	170.97	Estados Unidos
608	10856	ANTON	3	2	58.43	Mexico
609	10857	BERGS	8	2	188.85	Suecia
610	10858	LACOR	2	1	52.51	Francia
611	10859	FRANK	1	2	76.1	Alemania
612	10860	FRANR	3	3	19.26	Francia
613	10861	WHITC	4	2	14.93	Estados Unidos
614	10862	LEHMS	8	2	53.23	Alemania
615	10863	HILAA	4	2	30.26	Venezuela
616	10864	AROUT	4	2	3.04	Reino Unido
617	10865	QUICK	2	1	348.14	Alemania
618	10866	BERGS	5	1	109.11	Suecia
619	10867	LONEP	6	1	1.93	Estados Unidos
620	10868	QUEEN	7	2	191.27	Brasil
621	10869	SEVES	5	1	143.28	Reino Unido
622	10870	WHITC	5	3	12.04	Estados Unidos
623	10871	BONAP	9	2	112.27	Francia
624	10872	GODOS	5	2	175.32	Espanya
625	10873	WILMK	4	1	0.82	Finlandia
626	10874	GODOS	5	2	19.58	Espanya
627	10875	BERGS	4	2	32.37	Suecia
628	10876	BONAP	7	3	60.42	Francia
629	10877	RICAR	1	1	38.06	Brasil
630	10878	QUICK	4	1	46.69	Alemania
631	10879	WILMK	3	3	8.5	Finlandia
632	10880	FOLKO	7	1	88.01	Suecia
633	10881	CACTU	4	1	2.84	Argentina
634	10882	SAVEA	4	3	23.1	Estados Unidos
635	10883	LONEP	8	3	0.53	Estados Unidos
636	10884	LETSS	4	2	90.97	Estados Unidos
637	10885	SUPRD	6	3	5.64	Belgica
638	10886	HANAR	1	1	4.99	Brasil
639	10887	GALED	8	3	1.25	Espanya
640	10888	GODOS	1	2	51.87	Espanya
641	10889	RATTC	9	3	280.61	Estados Unidos
642	10890	DUMON	7	1	32.76	Francia
643	10891	LEHMS	7	2	20.37	Alemania
644	10892	MAISD	4	2	120.27	Belgica
645	10893	KOENE	9	2	77.78	Alemania
646	10894	SAVEA	1	1	116.13	Estados Unidos
647	10895	ERNSH	3	1	162.75	Austria
648	10896	MAISD	7	3	32.45	Belgica
649	10897	HUNGO	3	2	603.54	Irlanda
650	10898	OCEAN	4	2	1.27	Argentina
651	10899	LILAS	5	3	1.21	Venezuela
652	10900	WELLI	1	2	1.66	Brasil
653	10901	HILAA	4	1	62.09	Venezuela
654	10902	FOLKO	1	1	44.15	Suecia
655	10903	HANAR	3	3	36.71	Brasil
656	10904	WHITC	3	3	162.95	Estados Unidos
657	10905	WELLI	9	2	13.72	Brasil
658	10906	WOLZA	4	3	26.29	Polonia
659	10907	SPECD	6	3	9.19	Francia
660	10908	REGGC	4	2	32.96	Italia
661	10909	SANTG	1	2	53.05	Noruega
662	10910	WILMK	1	3	38.11	Finlandia
663	10911	GODOS	3	1	38.19	Espanya
664	10912	HUNGO	2	2	580.91	Irlanda
665	10913	QUEEN	4	1	33.05	Brasil
666	10914	QUEEN	6	1	21.19	Brasil
667	10915	TORTU	2	2	3.51	Mexico
668	10916	RANCH	1	2	63.77	Argentina
669	10917	ROMEY	4	2	8.29	Espanya
670	10918	BOTTM	3	3	48.83	Canada
671	10919	LINOD	2	2	19.8	Venezuela
672	10920	AROUT	4	2	29.61	Reino Unido
673	10921	VAFFE	1	1	176.48	Dinamarca
674	10922	HANAR	5	3	62.74	Brasil
675	10923	LAMAI	7	3	68.26	Francia
676	10924	BERGS	3	2	151.52	Suecia
677	10925	HANAR	3	1	2.27	Brasil
678	10926	ANATR	4	3	39.92	Mexico
679	10927	LACOR	4	1	19.79	Francia
680	10928	GALED	1	1	1.36	Espanya
681	10929	FRANK	6	1	33.93	Alemania
682	10930	SUPRD	4	3	15.55	Belgica
683	10931	RICSU	4	2	13.6	Suiza
684	10932	BONAP	8	1	134.64	Francia
685	10933	ISLAT	6	3	54.15	Reino Unido
686	10934	LEHMS	3	3	32.01	Alemania
687	10935	WELLI	4	3	47.59	Brasil
688	10936	GREAL	3	2	33.68	Estados Unidos
689	10937	CACTU	7	3	31.51	Argentina
690	10938	QUICK	3	2	31.89	Alemania
691	10939	MAGAA	2	2	76.33	Italia
692	10940	BONAP	8	3	19.77	Francia
693	10941	SAVEA	7	2	400.81	Estados Unidos
694	10942	REGGC	9	3	17.95	Italia
695	10943	BSBEV	4	2	2.17	Reino Unido
696	10944	BOTTM	6	3	52.92	Canada
697	10945	MORGK	4	1	10.22	Alemania
698	10946	VAFFE	1	2	27.2	Dinamarca
699	10947	BSBEV	3	2	3.26	Reino Unido
700	10948	GODOS	3	3	23.39	Espanya
701	10949	BOTTM	2	3	74.44	Canada
702	10950	MAGAA	1	2	2.5	Italia
703	10951	RICSU	9	2	30.85	Suiza
704	10952	ALFKI	1	1	40.42	Alemania
705	10953	AROUT	9	2	23.72	Reino Unido
706	10954	LINOD	5	1	27.91	Venezuela
707	10955	FOLKO	8	2	3.26	Suecia
708	10956	BLAUS	6	2	44.65	Alemania
709	10957	HILAA	8	3	105.36	Venezuela
710	10958	OCEAN	7	2	49.56	Argentina
711	10959	GOURL	6	2	4.98	Brasil
712	10960	HILAA	3	1	2.08	Venezuela
713	10961	QUEEN	8	1	104.47	Brasil
714	10962	QUICK	8	2	275.79	Alemania
715	10963	FURIB	9	3	2.7	Portugal
716	10964	SPECD	3	2	87.38	Francia
717	10965	OLDWO	6	3	144.38	Estados Unidos
718	10966	CHOPS	4	1	27.19	Suiza
719	10967	TOMSP	2	2	62.22	Alemania
720	10968	ERNSH	1	3	74.6	Austria
721	10969	COMMI	1	2	0.21	Brasil
722	10970	BOLID	9	1	16.16	Espanya
723	10971	FRANR	2	2	121.82	Francia
724	10972	LACOR	4	2	0.02	Francia
725	10973	LACOR	6	2	15.17	Francia
726	10974	SPLIR	3	3	12.96	Estados Unidos
727	10975	BOTTM	1	3	32.27	Canada
728	10976	HILAA	1	1	37.97	Venezuela
729	10977	FOLKO	8	3	208.5	Suecia
730	10978	MAISD	9	2	32.82	Belgica
731	10979	ERNSH	8	2	353.07	Austria
732	10980	FOLKO	4	1	1.26	Suecia
733	10981	HANAR	1	2	193.37	Brasil
734	10982	BOTTM	2	1	14.01	Canada
735	10983	SAVEA	2	2	657.54	Estados Unidos
736	10984	SAVEA	1	3	211.22	Estados Unidos
737	10985	HUNGO	2	1	91.51	Irlanda
738	10986	OCEAN	8	2	217.86	Argentina
739	10987	EASTC	8	1	185.48	Reino Unido
740	10988	RATTC	3	2	61.14	Estados Unidos
741	10989	QUEDE	2	1	34.76	Brasil
742	10990	ERNSH	2	3	117.61	Austria
743	10991	QUICK	1	1	38.51	Alemania
744	10992	THEBI	1	3	4.27	Estados Unidos
745	10993	FOLKO	7	3	8.81	Suecia
746	10994	VAFFE	2	3	65.53	Dinamarca
747	10995	PERIC	1	3	46.0	Mexico
748	10996	QUICK	4	2	1.12	Alemania
749	10997	LILAS	8	2	73.91	Venezuela
750	10998	WOLZA	8	2	20.31	Polonia
751	10999	OTTIK	6	2	96.35	Alemania
752	11000	RATTC	2	3	55.12	Estados Unidos
753	11001	FOLKO	2	2	197.3	Suecia
754	11002	SAVEA	4	1	141.16	Estados Unidos
755	11003	THECR	3	3	14.91	Estados Unidos
756	11004	MAISD	3	1	44.84	Belgica
757	11005	WILMK	2	1	0.75	Finlandia
758	11006	GREAL	3	2	25.19	Estados Unidos
759	11007	PRINI	8	2	202.24	Portugal
760	11008	ERNSH	7	3	79.46	Austria
761	11009	GODOS	2	1	59.11	Espanya
762	11010	REGGC	2	2	28.71	Italia
763	11011	ALFKI	3	1	1.21	Alemania
764	11012	FRANK	1	3	242.95	Alemania
765	11013	ROMEY	2	1	32.99	Espanya
766	11014	LINOD	2	3	23.6	Venezuela
767	11015	SANTG	2	2	4.62	Noruega
768	11016	AROUT	9	2	33.8	Reino Unido
769	11017	ERNSH	9	2	754.26	Austria
770	11018	LONEP	4	2	11.65	Estados Unidos
771	11019	RANCH	6	3	3.17	Argentina
772	11020	OTTIK	2	2	43.3	Alemania
773	11021	QUICK	3	1	297.18	Alemania
774	11022	HANAR	9	2	6.27	Brasil
775	11023	BSBEV	1	2	123.83	Reino Unido
776	11024	EASTC	4	1	74.36	Reino Unido
777	11025	WARTH	6	3	29.17	Finlandia
778	11026	FRANS	4	1	47.09	Italia
779	11027	BOTTM	1	1	52.52	Canada
780	11028	KOENE	2	1	29.59	Alemania
781	11029	CHOPS	4	1	47.84	Suiza
782	11030	SAVEA	7	2	830.75	Estados Unidos
783	11031	SAVEA	6	2	227.22	Estados Unidos
784	11032	WHITC	2	3	606.19	Estados Unidos
785	11033	RICSU	7	3	84.74	Suiza
786	11034	OLDWO	8	1	40.32	Estados Unidos
787	11035	SUPRD	2	2	0.17	Belgica
788	11036	DRACD	8	3	149.47	Alemania
789	11037	GODOS	7	1	3.2	Espanya
790	11038	SUPRD	1	2	29.59	Belgica
791	11039	LINOD	1	2	65.0	Venezuela
792	11040	GREAL	4	3	18.84	Estados Unidos
793	11041	CHOPS	3	2	48.22	Suiza
794	11042	COMMI	2	1	29.99	Brasil
795	11043	SPECD	5	2	8.8	Francia
796	11044	WOLZA	4	1	8.72	Polonia
797	11045	BOTTM	6	2	70.58	Canada
798	11046	WANDK	8	2	71.64	Alemania
799	11047	EASTC	7	3	46.62	Reino Unido
800	11048	BOTTM	7	3	24.12	Canada
801	11049	GOURL	3	1	8.34	Brasil
802	11050	FOLKO	8	2	59.41	Suecia
803	11051	LAMAI	7	3	2.79	Francia
804	11052	HANAR	3	1	67.26	Brasil
805	11053	PICCO	2	2	53.05	Austria
806	11054	CACTU	8	1	0.33	Argentina
807	11055	HILAA	7	2	120.92	Venezuela
808	11056	EASTC	8	2	278.96	Reino Unido
809	11057	NORTS	3	3	4.13	Reino Unido
810	11058	BLAUS	9	3	31.14	Alemania
811	11059	RICAR	2	2	85.8	Brasil
812	11060	FRANS	2	2	10.98	Italia
813	11061	GREAL	4	3	14.01	Estados Unidos
814	11062	REGGC	4	2	29.93	Italia
815	11063	HUNGO	3	2	81.73	Irlanda
816	11064	SAVEA	1	1	30.09	Estados Unidos
817	11065	LILAS	8	1	12.91	Venezuela
818	11066	WHITC	7	2	44.72	Estados Unidos
819	11067	DRACD	1	2	7.98	Alemania
820	11068	QUEEN	8	2	81.75	Brasil
821	11069	TORTU	1	2	15.67	Mexico
822	11070	LEHMS	2	1	136.0	Alemania
823	11071	LILAS	1	1	0.93	Venezuela
824	11072	ERNSH	4	2	258.64	Austria
825	11073	PERIC	2	2	24.95	Mexico
826	11074	SIMOB	7	2	18.44	Dinamarca
827	11075	RICSU	8	2	6.19	Suiza
828	11076	BONAP	4	2	38.28	Francia
829	11077	RATTC	1	2	8.53	Estados Unidos
